,time,Force_Fx1,Force_Fy1,Force_Fz1,Moment_Mx1,Moment_My1,Moment_Mz1,Force_Fx2,Force_Fy2,Force_Fz2,Moment_Mx2,Moment_My2,Moment_Mz2,Force_Fx3,Force_Fy3,Force_Fz3,Moment_Mx3,Moment_My3,Moment_Mz3,Force_Fx4,Force_Fy4,Force_Fz4,Moment_Mx4,Moment_My4,Moment_Mz4,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6,Voltage_7,Voltage_8,Voltage_9,Voltage_10,Voltage_11,Voltage_12,Voltage_13,Voltage_14,Voltage_15,Voltage_16,Voltage_1-VM,Voltage_2-VL,Voltage_3-RF,Voltage_4-GRA,Voltage_5-TA,Voltage_6-AL,Voltage_7-ST,Voltage_8-BF,Voltage_9-MG,Voltage_10-LG,Voltage_11-TFL,Voltage_12-Gmax,Voltage_13-Gmed-intra,Voltage_14-PIR-intra,Voltage_15-OI-intra,Voltage_16-QF-intra,Force_Rig
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1563760042190552,20.017406463623047,-252.8768310546875,-76303.6875,-14085.751953125,-510.3716735839844,-1.168704628944397,-18.73574447631836,-249.59774780273438,73373.1640625,-11640.7421875,-836.1831665039062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0019073486328125,0.0054168701171875,0.00896453857421875,0.01220703125,0.0086212158203125,0.0119781494140625,0.0074005126953125,0.0188446044921875,0.00713348388671875,0.00728607177734375,0.045166015625,0.0109100341796875,0.0064849853515625,0.00919342041015625,0.00400543212890625,0.0205230712890625,0.094757080078125,0.127716064453125,0.0933837890625,0.093994140625,0.0982666015625,0.089263916015625,0.103759765625,0.114898681640625,0.09002685546875,0.121917724609375,0.099334716796875,0.086822509765625,0.094146728515625,3.3770751953125,0.0982666015625,0.096893310546875,0.6413609385490417
1,0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2217731475830078,19.64262580871582,-250.8787841796875,-76730.328125,-13786.9248046875,-484.79150390625,-1.5197888612747192,-18.804750442504883,-250.29563903808594,73170.734375,-11485.5087890625,-859.5907592773438,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00209808349609375,-0.006256103515625,-0.00904083251953125,-0.01216888427734375,-0.00766754150390625,-0.012359619140625,-0.0064849853515625,-0.01453399658203125,-0.0051116943359375,-0.006561279296875,0.00492095947265625,-0.0113677978515625,-0.00732421875,-0.00797271728515625,-0.00545501708984375,-0.0213623046875,0.098419189453125,0.09918212890625,0.11444091796875,0.092926025390625,0.102996826171875,0.101165771484375,0.0994873046875,0.099639892578125,0.09552001953125,0.07720947265625,0.103759765625,0.09918212890625,0.1019287109375,3.2208251953125,0.10284423828125,0.096282958984375,0.955852210521698
2,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3450133800506592,19.718366622924805,-252.9039764404297,-76875.2578125,-14072.333984375,-537.6571044921875,-1.5967941284179688,-19.157974243164062,-249.61244201660156,73712.015625,-11876.552734375,-919.0103149414062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00446319580078125,-0.0061798095703125,-0.0089263916015625,-0.012054443359375,-0.009765625,-0.01079559326171875,-0.00736236572265625,-0.01678466796875,-0.0038909912109375,-0.00514984130859375,-0.04314422607421875,-0.009918212890625,-0.00339508056640625,-0.00698089599609375,-0.002288818359375,-0.01987457275390625,0.103912353515625,0.108795166015625,0.084991455078125,0.092315673828125,0.090179443359375,0.094757080078125,0.07171630859375,0.065155029296875,0.1025390625,0.085906982421875,0.09307861328125,0.092010498046875,0.096588134765625,-3.10302734375,0.09521484375,0.0958251953125,-4.076008319854736
3,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.087341547012329,19.800390243530273,-253.94969177246094,-76631.0,-13757.9111328125,-536.4650268554688,-1.519690752029419,-19.081336975097656,-246.956787109375,73063.1796875,-11367.4267578125,-836.5206298828125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00667572021484375,0.0063323974609375,0.0101470947265625,0.0119781494140625,0.007476806640625,0.01148223876953125,0.00400543212890625,0.0165557861328125,0.00339508056640625,0.00789642333984375,-0.0034332275390625,0.01361846923828125,0.00774383544921875,0.0067138671875,0.00339508056640625,0.022430419921875,0.0860595703125,0.042572021484375,0.094451904296875,0.098419189453125,0.09246826171875,0.09674072265625,0.091400146484375,0.103912353515625,0.106201171875,0.1397705078125,0.101318359375,0.095672607421875,0.095062255859375,-3.0609130859375,0.0982666015625,0.095672607421875,10.39059066772461
4,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8062955141067505,20.123083114624023,-253.28387451171875,-76839.3515625,-14108.107421875,-599.0363159179688,-1.6007007360458374,-19.07359504699707,-249.2327423095703,73076.0390625,-11606.6025390625,-866.240234375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00774383544921875,0.0061798095703125,0.00972747802734375,0.0122833251953125,0.0089263916015625,0.0084686279296875,0.00507354736328125,0.01922607421875,0.0041961669921875,0.0058746337890625,0.043487548828125,0.0124359130859375,0.00690460205078125,0.00881195068359375,0.005645751953125,0.02155303955078125,0.096893310546875,0.121307373046875,0.096893310546875,0.103759765625,0.10009765625,0.099639892578125,0.0958251953125,0.09765625,0.09796142578125,0.0897216796875,0.0982666015625,0.08758544921875,0.096282958984375,3.380126953125,0.09918212890625,0.09735107421875,5.673221588134766
5,0.0025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4627539813518524,20.047666549682617,-255.5964813232422,-76575.7890625,-13840.865234375,-449.4980163574219,-1.8629264831542969,-19.062164306640625,-248.595947265625,72865.1953125,-11547.8779296875,-954.1295776367188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00431060791015625,-0.00736236572265625,-0.00965118408203125,-0.01247406005859375,-0.008392333984375,-0.01033782958984375,-0.00614166259765625,-0.01556396484375,-0.00499725341796875,-0.00701904296875,0.00240325927734375,-0.01129150390625,-0.0074005126953125,-0.011138916015625,-0.004119873046875,-0.02223968505859375,0.1104736328125,0.13275146484375,0.0927734375,0.081329345703125,0.093994140625,0.09368896484375,0.088958740234375,0.083770751953125,0.088653564453125,0.08331298828125,0.096588134765625,0.10284423828125,0.093994140625,3.209228515625,0.09552001953125,0.094451904296875,0.3268696665763855
6,0.003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6413847804069519,19.958452224731445,-255.36248779296875,-77024.84375,-13815.0576171875,-281.89947509765625,-1.9477488994598389,-18.559167861938477,-247.89764404296875,72707.8203125,-11388.322265625,-959.249267578125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0045013427734375,-0.00804901123046875,-0.00835418701171875,-0.0125885009765625,-0.0077056884765625,-0.00732421875,-0.00335693359375,-0.01708984375,-0.00354766845703125,-0.00545501708984375,-0.04375457763671875,-0.012664794921875,-0.00698089599609375,-0.0064849853515625,-0.003814697265625,-0.0206756591796875,0.09124755859375,0.1043701171875,0.099029541015625,0.097198486328125,0.094757080078125,0.095672607421875,0.10406494140625,0.11077880859375,0.086212158203125,0.11474609375,0.095977783203125,0.09124755859375,0.09765625,-3.10577392578125,0.096435546875,0.09246826171875,4.729747772216797
7,0.0035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.528396487236023,19.51955795288086,-254.98231506347656,-76941.953125,-13946.376953125,-222.70269775390625,-1.9476993083953857,-18.54363250732422,-246.22938537597656,73159.2109375,-11624.0126953125,-1014.672607421875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00354766845703125,0.006256103515625,0.01064300537109375,0.0128936767578125,0.0081634521484375,0.013427734375,0.0069427490234375,0.0167083740234375,0.00560760498046875,0.00568389892578125,-0.002899169921875,0.01071929931640625,0.0090789794921875,0.00797271728515625,0.00606536865234375,0.0228118896484375,0.102081298828125,0.099334716796875,0.09918212890625,0.098114013671875,0.0970458984375,0.092926025390625,0.092620849609375,0.114593505859375,0.096282958984375,0.110626220703125,0.09857177734375,0.093231201171875,0.09735107421875,-3.05938720703125,0.09735107421875,0.095062255859375,9.44711685180664
8,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08247347176074982,19.87271499633789,-253.93637084960938,-76892.25,-13626.8466796875,-104.14707946777344,-2.0326008796691895,-18.566837310791016,-248.8993682861328,73027.4765625,-11352.3662109375,-1014.7388916015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0042724609375,0.00370025634765625,0.00827789306640625,0.01148223876953125,0.011138916015625,0.011138916015625,0.006561279296875,0.01941680908203125,0.0060272216796875,0.00698089599609375,0.0437164306640625,0.01247406005859375,0.00614166259765625,0.00762939453125,0.000762939453125,0.01911163330078125,0.090484619140625,0.0726318359375,0.088348388671875,0.100555419921875,0.09674072265625,0.1007080078125,0.096588134765625,0.075836181640625,0.105133056640625,0.0927734375,0.103302001953125,0.094146728515625,0.101776123046875,3.385009765625,0.1031494140625,0.097808837890625,2.8427999019622803
9,0.0045000000000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.35002923011779785,19.45765495300293,-255.67529296875,-76801.0,-13847.5322265625,-187.8480987548828,-2.0403480529785156,-18.6397705078125,-248.1852264404297,72709.609375,-11223.98046875,-1155.236083984375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00469207763671875,-0.00644683837890625,-0.00965118408203125,-0.01255035400390625,-0.0072479248046875,-0.0112152099609375,-0.004425048828125,-0.0148773193359375,-0.00499725341796875,-0.00652313232421875,0.00438690185546875,-0.01384735107421875,-0.0067901611328125,-0.01068115234375,-0.00335693359375,-0.0238800048828125,0.096282958984375,0.0543212890625,0.09735107421875,0.085601806640625,0.092315673828125,0.088348388671875,0.10894775390625,0.088348388671875,0.0958251953125,0.12603759765625,0.091094970703125,0.092010498046875,0.095367431640625,3.2098388671875,0.09613037109375,0.0927734375,-0.9310954213142395
