,time,Force_Fx1,Force_Fy1,Force_Fz1,Moment_Mx1,Moment_My1,Moment_Mz1,Force_Fx2,Force_Fy2,Force_Fz2,Moment_Mx2,Moment_My2,Moment_Mz2,Force_Fx3,Force_Fy3,Force_Fz3,Moment_Mx3,Moment_My3,Moment_Mz3,Force_Fx4,Force_Fy4,Force_Fz4,Moment_Mx4,Moment_My4,Moment_Mz4,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6,Voltage_7,Voltage_8,Voltage_9,Voltage_10,Voltage_11,Voltage_12,Voltage_13,Voltage_14,Voltage_15,Voltage_16,Voltage_1-VM,Voltage_2-VL,Voltage_3-RF,Voltage_4-GRA,Voltage_5-TA,Voltage_6-AL,Voltage_7-ST,Voltage_8-BF,Voltage_9-MG,Voltage_10-LG,Voltage_11-TFL,Voltage_12-Gmax,Voltage_13-Gmed-intra,Voltage_14-PIR-intra,Voltage_15-OI-intra,Voltage_16-QF-intra,Force_Rig
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.810897350311279,42.870853424072266,-344.11614990234375,-73490.859375,8200.35546875,3068.140869140625,-0.23479586839675903,-37.00603485107422,-300.851318359375,81635.0546875,-1584.4493408203125,-1254.9500732421875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.010528564453125,-0.0034332275390625,-0.00179290771484375,-0.00213623046875,-7.62939453125e-05,-0.0090789794921875,-0.0081634521484375,-0.00698089599609375,-0.00072479248046875,-0.02696990966796875,-0.03284454345703125,0.0206756591796875,-0.03139495849609375,-0.00179290771484375,-0.001373291015625,-0.0032806396484375,0.09735107421875,0.10498046875,0.103912353515625,0.104522705078125,0.100555419921875,0.066986083984375,0.09857177734375,0.097808837890625,0.103759765625,0.091552734375,0.102691650390625,0.107879638671875,-3.056488037109375,-3.07342529296875,2.46856689453125,-3.05084228515625,9.062332153320312
1,0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.5538649559021,43.61589050292969,-347.4015197753906,-74456.546875,8532.4970703125,3488.22265625,-0.5929840803146362,-36.21283721923828,-299.6934814453125,80710.671875,-1449.54736328125,-1384.1591796875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0121307373046875,-0.0087738037109375,-0.013427734375,-0.01537322998046875,-0.01247406005859375,-0.019073486328125,-0.011749267578125,-0.02532958984375,-0.00980377197265625,-0.023956298828125,-0.03826141357421875,0.00072479248046875,-0.0264739990234375,-0.0125885009765625,-0.0046539306640625,-0.0299072265625,0.0946044921875,0.10406494140625,0.097198486328125,0.09765625,0.099639892578125,0.120697021484375,0.096435546875,0.09429931640625,0.097808837890625,0.10955810546875,0.10009765625,0.09521484375,-3.02276611328125,-3.04473876953125,3.209228515625,-3.011627197265625,-1.6755069494247437
2,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.939735412597656,43.87971115112305,-351.6477966308594,-75485.3359375,8730.5751953125,3585.375,-0.8871078491210938,-35.50297164916992,-295.74072265625,80162.921875,-1116.9580078125,-1542.5537109375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.009765625,0.00164031982421875,0.00377655029296875,0.00186920166015625,0.00091552734375,0.0118255615234375,0.00774383544921875,0.00759124755859375,0.00034332275390625,0.027313232421875,0.03520965576171875,-0.018463134765625,0.03139495849609375,0.00202178955078125,0.00293731689453125,0.00217437744140625,0.1007080078125,0.0958251953125,0.09552001953125,0.103607177734375,0.099029541015625,0.096588134765625,0.097808837890625,0.09857177734375,0.100250244140625,0.087432861328125,0.10101318359375,0.096588134765625,3.359832763671875,3.38470458984375,-2.14752197265625,3.362884521484375,-5.465332508087158
3,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.68216609954834,44.417144775390625,-355.5442810058594,-76010.4375,8866.0634765625,3644.442626953125,-1.0658963918685913,-34.82863998413086,-293.98028564453125,79595.4296875,-1088.6446533203125,-1670.3338623046875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01331329345703125,0.0104522705078125,0.014495849609375,0.01842498779296875,0.0127410888671875,0.01880645751953125,0.0136566162109375,0.0238800048828125,0.00827789306640625,0.02559661865234375,0.0383758544921875,-0.0008392333984375,0.027008056640625,0.011444091796875,0.0032806396484375,0.031280517578125,0.09796142578125,0.093841552734375,0.100250244140625,0.103302001953125,0.097808837890625,0.1263427734375,0.097198486328125,0.100860595703125,0.09521484375,0.108795166015625,0.100860595703125,0.096282958984375,3.2257080078125,3.23486328125,-2.99530029296875,3.21044921875,8.114875793457031
4,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.218984603881836,44.540016174316406,-361.1763916015625,-76984.46875,9387.9306640625,3907.806640625,-1.9801558256149292,-33.82563781738281,-292.7013244628906,78746.90625,-692.7092895507812,-1780.3062744140625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01071929931640625,-0.00110626220703125,-0.00274658203125,-0.0020599365234375,-0.0002288818359375,-0.0081634521484375,-0.007476806640625,-0.00537872314453125,-0.00034332275390625,-0.02716064453125,-0.03124237060546875,0.01708984375,-0.030059814453125,-7.62939453125e-05,-0.00118255615234375,-0.0045013427734375,0.1336669921875,0.104827880859375,0.099639892578125,0.1055908203125,0.107574462890625,0.073089599609375,0.10223388671875,0.098114013671875,0.10528564453125,0.103759765625,0.1007080078125,0.10101318359375,-3.054351806640625,-3.07373046875,2.347412109375,-3.054046630859375,12.22052001953125
5,0.0025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.722016334533691,45.01085662841797,-362.36260986328125,-77690.609375,9594.8603515625,4143.46337890625,-2.455538034439087,-32.88570785522461,-290.62005615234375,78474.3515625,-527.3412475585938,-2036.7386474609375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012664794921875,-0.00942230224609375,-0.01308441162109375,-0.01750946044921875,-0.01033782958984375,-0.0213623046875,-0.0099945068359375,-0.0255584716796875,-0.00865936279296875,-0.0244140625,-0.0390625,0.0030517578125,-0.02773284912109375,-0.00988006591796875,-0.0061798095703125,-0.02895355224609375,0.07293701171875,0.110626220703125,0.096435546875,0.10894775390625,0.101318359375,0.090179443359375,0.0982666015625,0.102081298828125,0.10528564453125,0.099945068359375,0.09735107421875,0.096893310546875,-3.0181884765625,-3.04443359375,3.21197509765625,-3.01513671875,-2.6229631900787354
6,0.003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.374587059020996,44.926002502441406,-364.3526916503906,-77865.5546875,9736.236328125,4327.68017578125,-3.0141468048095703,-32.23540496826172,-291.06549072265625,78261.8203125,-343.9356384277344,-2147.493408203125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01010894775390625,0.00499725341796875,0.00110626220703125,0.00293731689453125,0.00232696533203125,0.0104522705078125,0.00762939453125,0.00446319580078125,0.00217437744140625,0.02716064453125,0.0345611572265625,-0.0193023681640625,0.03047943115234375,0.00301361083984375,0.000762939453125,0.004119873046875,0.095367431640625,0.1019287109375,0.09735107421875,0.10223388671875,0.102691650390625,0.128326416015625,0.10009765625,0.102691650390625,0.115203857421875,0.11566162109375,0.103302001953125,0.09918212890625,3.36090087890625,3.38287353515625,-2.017822265625,3.36212158203125,-4.833694934844971
7,0.0035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.409445762634277,44.6801643371582,-365.7459716796875,-78144.359375,10107.20703125,4503.6806640625,-3.5225396156311035,-32.17926788330078,-289.0975341796875,78172.0546875,-219.26942443847656,-2541.5185546875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01255035400390625,0.0092315673828125,0.0136566162109375,0.0173187255859375,0.0119781494140625,0.0193023681640625,0.0128936767578125,0.02506256103515625,0.00713348388671875,0.02685546875,0.0384521484375,-0.00087738037109375,0.02841949462890625,0.01026153564453125,0.00728607177734375,0.02964019775390625,0.101165771484375,0.09552001953125,0.095367431640625,0.09857177734375,0.098419189453125,0.11474609375,0.09979248046875,0.098114013671875,0.094451904296875,0.0823974609375,0.101776123046875,0.100250244140625,3.220062255859375,3.2379150390625,-3.02398681640625,3.20526123046875,3.6934125423431396
8,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.237961769104004,44.600887298583984,-365.88427734375,-77962.6328125,10294.279296875,4689.35498046875,-4.052751541137695,-32.26280975341797,-290.26458740234375,78132.640625,-110.52528381347656,-2611.35302734375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00946044921875,-0.00255584716796875,-0.001068115234375,-0.00152587890625,-0.00110626220703125,-0.00804901123046875,-0.009307861328125,-0.006256103515625,-0.000762939453125,-0.026092529296875,-0.03246307373046875,0.01659393310546875,-0.0308990478515625,-0.00110626220703125,7.62939453125e-05,-0.0037384033203125,0.111083984375,0.102691650390625,0.108489990234375,0.096282958984375,0.108489990234375,0.09002685546875,0.094757080078125,0.10040283203125,0.0970458984375,0.126953125,0.104827880859375,0.100860595703125,-3.05999755859375,-3.0743408203125,2.20947265625,-3.0560302734375,4.640868663787842
9,0.0045000000000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.658675193786621,44.26718521118164,-364.6030578613281,-77538.4609375,10491.109375,4855.556640625,-5.084333419799805,-31.85643196105957,-291.9795837402344,78239.7109375,371.2968444824219,-2750.101806640625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01338958740234375,-0.0093841552734375,-0.01361846923828125,-0.017242431640625,-0.01224517822265625,-0.0185394287109375,-0.01132965087890625,-0.02780914306640625,-0.0057220458984375,-0.02742767333984375,-0.03856658935546875,0.00263214111328125,-0.02777099609375,-0.009765625,-0.006103515625,-0.03021240234375,0.10162353515625,0.107574462890625,0.101318359375,0.100860595703125,0.10223388671875,0.07537841796875,0.0982666015625,0.1007080078125,0.105743408203125,0.076141357421875,0.101776123046875,0.105743408203125,-3.023834228515625,-3.045654296875,3.2147216796875,-3.01300048828125,-0.41223180294036865
