,time,Force_Fx1,Force_Fy1,Force_Fz1,Moment_Mx1,Moment_My1,Moment_Mz1,Force_Fx2,Force_Fy2,Force_Fz2,Moment_Mx2,Moment_My2,Moment_Mz2,Force_Fx3,Force_Fy3,Force_Fz3,Moment_Mx3,Moment_My3,Moment_Mz3,Force_Fx4,Force_Fy4,Force_Fz4,Moment_Mx4,Moment_My4,Moment_Mz4,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6,Voltage_7,Voltage_8,Voltage_9,Voltage_10,Voltage_11,Voltage_12,Voltage_13,Voltage_14,Voltage_15,Voltage_16,Voltage_1-VM,Voltage_2-VL,Voltage_3-RF,Voltage_4-GRA,Voltage_5-TA,Voltage_6-AL,Voltage_7-ST,Voltage_8-BF,Voltage_9-MG,Voltage_10-LG,Voltage_11-TFL,Voltage_12-Gmax,Voltage_13-Gmed-intra,Voltage_14-PIR-intra,Voltage_15-OI-intra,Voltage_16-QF-intra,Force_Rig,TreadmillSpikes_1
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.34355354309082,-1.6905171871185303,-725.078369140625,-242325.625,15639.4111328125,-1659.1754150390625,-11.119306564331055,-3.1519083976745605,-37.239341735839844,16991.794921875,4786.39892578125,-5546.58984375,-34.730995178222656,16.039108276367188,76.27787017822266,-8551.78515625,-22771.1796875,808.8466186523438,-0.0080108642578125,-0.0067901611328125,-0.0124359130859375,-0.01560211181640625,-0.0131988525390625,-0.01495361328125,-0.00835418701171875,-0.02269744873046875,-0.00934600830078125,-0.009307861328125,-0.01781463623046875,-0.0144195556640625,-0.00919342041015625,-0.01232147216796875,-0.0035858154296875,-0.0283050537109375,0.10284423828125,0.10772705078125,0.101318359375,0.090789794921875,0.110626220703125,0.108489990234375,0.112152099609375,0.1019287109375,0.112762451171875,0.101470947265625,0.103607177734375,0.1055908203125,0.09033203125,-0.03662109375,0.11016845703125,0.04913330078125,10.06114673614502,1.2499618530273438
1,0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.137521743774414,-2.0469257831573486,-724.2503051757812,-242434.78125,15527.2373046875,-1727.966796875,-11.413195610046387,-3.3562240600585938,-37.926570892333984,17222.2890625,4575.857421875,-5586.73779296875,-35.1262321472168,16.101163864135742,75.09049224853516,-8553.29296875,-22581.625,768.599609375,0.00244140625,0.00232696533203125,0.00446319580078125,0.0064849853515625,0.004119873046875,0.00438690185546875,0.0049591064453125,0.00640869140625,0.00469207763671875,0.0019073486328125,0.0067901611328125,0.00560760498046875,0.00370025634765625,0.00431060791015625,0.00152587890625,0.01117706298828125,0.10162353515625,0.100555419921875,0.10498046875,0.11993408203125,0.10589599609375,0.1019287109375,0.10589599609375,0.108489990234375,0.1055908203125,0.10833740234375,0.106658935546875,0.1019287109375,0.122833251953125,-0.06072998046875,0.1116943359375,0.051116943359375,14.55554485321045,1.2499618530273438
2,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.666557312011719,-2.615553855895996,-725.6754760742188,-242608.828125,14893.5927734375,-1650.934326171875,-11.238625526428223,-3.265026092529297,-37.828548431396484,17068.83984375,4643.68212890625,-5625.5361328125,-34.68239974975586,16.280988693237305,76.1566162109375,-8678.0234375,-22634.236328125,701.6058349609375,0.009307861328125,0.009307861328125,0.013275146484375,0.01659393310546875,0.01300811767578125,0.016632080078125,0.0066375732421875,0.02277374267578125,0.00812530517578125,0.01003265380859375,0.02033233642578125,0.01476287841796875,0.0103759765625,0.0118255615234375,0.0063323974609375,0.03047943115234375,0.101470947265625,0.103302001953125,0.109405517578125,0.104522705078125,0.10650634765625,0.10986328125,0.102081298828125,0.103759765625,0.1104736328125,0.101776123046875,0.09246826171875,0.10955810546875,0.133056640625,-0.05615234375,0.1153564453125,0.053558349609375,20.77855682373047,1.2499618530273438
3,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.608123779296875,-3.0855140686035156,-726.7222900390625,-243227.703125,14730.4775390625,-1805.4842529296875,-11.762063980102539,-3.2315921783447266,-37.72001266479492,16930.599609375,4712.97216796875,-5704.681640625,-35.15361404418945,15.779454231262207,75.33306884765625,-8818.669921875,-22660.607421875,758.8184204101562,-0.003204345703125,-0.00202178955078125,-0.00308990478515625,-0.0041961669921875,-0.00453948974609375,-0.0048065185546875,-3.814697265625e-05,-0.0095367431640625,-0.00438690185546875,-0.0034332275390625,-0.0060272216796875,-0.00553131103515625,-0.00377655029296875,-0.00244140625,-0.00091552734375,-0.0087738037109375,0.11474609375,0.112762451171875,0.111541748046875,0.108795166015625,0.107574462890625,0.10650634765625,0.111541748046875,0.105133056640625,0.104522705078125,0.11932373046875,0.1141357421875,0.1141357421875,0.105438232421875,-0.04364013671875,0.115966796875,0.053863525390625,22.161449432373047,1.2499618530273438
4,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.7214155197143555,-3.7434768676757812,-727.1841430664062,-243642.90625,14327.544921875,-1868.9010009765625,-11.590518951416016,-3.2100398540496826,-37.84086608886719,16997.822265625,4778.72119140625,-5694.32421875,-34.86878967285156,16.284503936767578,74.38743591308594,-8528.1865234375,-22584.294921875,820.4550170898438,-0.00545501708984375,-0.00713348388671875,-0.01323699951171875,-0.01739501953125,-0.01270294189453125,-0.0153350830078125,-0.00701904296875,-0.02445220947265625,-0.008544921875,-0.0084686279296875,-0.01827239990234375,-0.015411376953125,-0.01140594482421875,-0.0115203857421875,-0.00423431396484375,-0.03047943115234375,0.107269287109375,0.103607177734375,0.100860595703125,0.098724365234375,0.106048583984375,0.107421875,0.0921630859375,0.100860595703125,0.10406494140625,0.100250244140625,0.11138916015625,0.100860595703125,0.101165771484375,-0.0341796875,0.10955810546875,0.048828125,12.13548469543457,1.2499618530273438
5,0.0025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.5549821853637695,-4.134349822998047,-728.7325439453125,-243913.46875,13755.0361328125,-1994.3394775390625,-11.880881309509277,-3.267902374267578,-38.07004928588867,16844.099609375,4650.552734375,-5675.111328125,-34.7296028137207,16.429370880126953,74.84500885009766,-8661.1064453125,-22695.384765625,751.7677612304688,0.0019073486328125,0.00324249267578125,0.00446319580078125,0.0057220458984375,0.0048065185546875,0.0054931640625,0.000152587890625,0.00843048095703125,0.00225067138671875,0.00244140625,0.0095367431640625,0.005645751953125,0.0028228759765625,0.00377655029296875,0.0043487548828125,0.0104522705078125,0.10162353515625,0.10345458984375,0.104217529296875,0.101470947265625,0.10406494140625,0.107421875,0.11077880859375,0.10009765625,0.096282958984375,0.095977783203125,0.087738037109375,0.09857177734375,0.111846923828125,-0.018310546875,0.111083984375,0.0518798828125,13.864099502563477,1.2499618530273438
6,0.003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.966431617736816,-4.902172088623047,-729.54736328125,-244501.6875,13188.8720703125,-2264.904052734375,-11.737223625183105,-3.414024829864502,-37.14353561401367,16787.923828125,4658.35693359375,-5762.94970703125,-34.95101547241211,16.257104873657227,75.4547119140625,-8539.5302734375,-22749.6015625,711.3294677734375,0.008544921875,0.0096893310546875,0.011749267578125,0.01811981201171875,0.0122833251953125,0.0146484375,0.00736236572265625,0.02231597900390625,0.00659942626953125,0.00926971435546875,0.02269744873046875,0.0153350830078125,0.00957489013671875,0.0119781494140625,0.00682830810546875,0.0302886962890625,0.10498046875,0.1055908203125,0.098114013671875,0.102081298828125,0.0994873046875,0.102691650390625,0.10955810546875,0.109710693359375,0.107574462890625,0.103912353515625,0.112152099609375,0.099945068359375,0.12115478515625,-0.0115966796875,0.11993408203125,0.049591064453125,21.470003128051758,1.2499618530273438
7,0.0035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.241086006164551,-5.436954498291016,-731.3131103515625,-245048.890625,12679.0576171875,-2268.94677734375,-11.59377384185791,-3.2067999839782715,-37.82914733886719,16622.15234375,4548.04443359375,-5644.1083984375,-34.884849548339844,15.819254875183105,76.59868621826172,-8688.8349609375,-22615.1484375,661.8678588867188,-0.0034332275390625,-0.0011444091796875,-0.00362396240234375,-0.0052642822265625,-0.0032806396484375,-0.0061798095703125,-0.00286102294921875,-0.00621795654296875,-0.0011444091796875,-0.00316619873046875,-0.00507354736328125,-0.0048828125,-0.00270843505859375,-0.00354766845703125,-0.001068115234375,-0.01117706298828125,0.10528564453125,0.111846923828125,0.105133056640625,0.10467529296875,0.109100341796875,0.1123046875,0.10223388671875,0.10772705078125,0.1007080078125,0.107879638671875,0.1129150390625,0.099945068359375,0.135345458984375,0.0079345703125,0.1129150390625,0.04852294921875,23.198617935180664,1.2499618530273438
8,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.772473335266113,-5.859161853790283,-732.3576049804688,-245607.8125,12350.5205078125,-2576.039794921875,-11.853062629699707,-3.1795806884765625,-37.23830032348633,16513.685546875,4726.025390625,-5793.7255859375,-34.799346923828125,16.05004119873047,76.1725845336914,-8593.2900390625,-22799.005859375,807.2373657226562,-0.0064849853515625,-0.0093841552734375,-0.0119781494140625,-0.01506805419921875,-0.01163482666015625,-0.01556396484375,-0.00644683837890625,-0.02277374267578125,-0.0092315673828125,-0.00988006591796875,-0.02017974853515625,-0.0127410888671875,-0.01003265380859375,-0.01132965087890625,-0.005035400390625,-0.03017425537109375,0.1007080078125,0.105438232421875,0.108795166015625,0.10986328125,0.103759765625,0.1123046875,0.105438232421875,0.10986328125,0.107879638671875,0.11260986328125,0.1153564453125,0.105133056640625,0.10498046875,-0.123291015625,0.11566162109375,0.05035400390625,14.901268005371094,1.2499618530273438
9,0.0045000000000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.641075134277344,-6.149997711181641,-731.8963012695312,-245605.21875,11858.32421875,-2872.61279296875,-11.621112823486328,-2.941685676574707,-36.41878128051758,16276.513671875,4640.15234375,-5744.45751953125,-34.97407913208008,16.347288131713867,75.24262237548828,-8503.8857421875,-22724.455078125,786.8890380859375,0.00324249267578125,0.00179290771484375,0.00423431396484375,0.00518798828125,0.004425048828125,0.004119873046875,0.00209808349609375,0.00858306884765625,0.00232696533203125,0.002899169921875,0.00789642333984375,0.00545501708984375,0.00316619873046875,0.0028228759765625,0.0043487548828125,0.00896453857421875,0.10772705078125,0.100860595703125,0.1092529296875,0.107269287109375,0.103607177734375,0.10772705078125,0.1031494140625,0.108184814453125,0.106353759765625,0.1129150390625,0.1068115234375,0.107879638671875,0.08941650390625,-0.2093505859375,0.1171875,0.050201416015625,15.938437461853027,1.2499618530273438
