task,Group,group,mean,std,count
SJ,CON,Adductors,3495.503988051,575.4201756972682,4
SJ,CON,Gluteus maximus,2283.1086917875,928.3185659331589,4
SJ,CON,Gluteus medius,2566.9155081165,463.54571390752716,4
SJ,CON,Gluteus minimus,1263.574407903,103.8457233592747,4
SJ,CON,Hamstrings,4482.6661306595,331.53579341034185,4
SJ,CON,Iliopsoas,2306.4942387775,285.4617097621204,4
SJ,CON,Piriformis,869.35513789,253.17327198679232,4
SJ,CON,Rectus femoris,2567.417823019,65.29168576975577,4
SJ,CON,Tibialis anterior,1442.454493635,434.6183334679977,4
SJ,CON,Triceps surae,8415.618860182,2509.3670807605063,4
SJ,CON,Vasti,7941.626945505001,2870.436974521564,4
SJ,FAIM,Adductors,3683.3097799973334,381.42822582527026,3
SJ,FAIM,Gluteus maximus,2138.7927393506666,840.2074383245057,3
SJ,FAIM,Gluteus medius,2670.5744603253333,316.77899632610803,3
SJ,FAIM,Gluteus minimus,1329.2957573886667,59.69073035286739,3
SJ,FAIM,Hamstrings,4658.038665862667,485.04878975761335,3
SJ,FAIM,Iliopsoas,2292.445225613333,363.29672973603243,3
SJ,FAIM,Piriformis,897.1882761773335,220.21821902666267,3
SJ,FAIM,Rectus femoris,2580.940365584667,187.32367880652217,3
SJ,FAIM,Tibialis anterior,1471.959762144,337.6679680553889,3
SJ,FAIM,Triceps surae,7598.241453450667,2411.1330973357103,3
SJ,FAIM,Vasti,7504.1275626666675,2801.985913046878,3
SJ,FAIS,Adductors,3256.4426995510003,74.58059883352298,4
SJ,FAIS,Gluteus maximus,1565.791749043,134.64384197924574,4
SJ,FAIS,Gluteus medius,2398.3283208505,142.83216336659467,4
SJ,FAIS,Gluteus minimus,1317.5718301175,76.89654779953094,4
SJ,FAIS,Hamstrings,4523.922675144,516.6478305162594,4
SJ,FAIS,Iliopsoas,2639.8191349975,243.40587855720423,4
SJ,FAIS,Piriformis,707.5872969970001,164.54013456851163,4
SJ,FAIS,Rectus femoris,2511.8550616439998,124.10378262483842,4
SJ,FAIS,Tibialis anterior,1654.9108736335002,12.773116503880217,4
SJ,FAIS,Triceps surae,6407.559665461,1374.879339947152,4
SJ,FAIS,Vasti,6051.423006222,157.65467466035747,4
SLS back,FAIS,Adductors,3424.5216875733336,349.7420450400401,4
SLS back,FAIS,Gluteus maximus,3075.8743246075,172.78216797904338,4
SLS back,FAIS,Gluteus medius,2879.2275316591667,149.75061955252704,4
SLS back,FAIS,Gluteus minimus,1295.5939907900001,79.99894360433032,4
SLS back,FAIS,Hamstrings,4570.068975770833,436.41458432564724,4
SLS back,FAIS,Iliopsoas,2485.7668359199997,180.29069630156286,4
SLS back,FAIS,Piriformis,1114.5458093225,84.99576188387141,4
SLS back,FAIS,Rectus femoris,2269.019863745,157.11845663616845,4
SLS back,FAIS,Tibialis anterior,1389.0212720141667,80.01843319325447,4
SLS back,FAIS,Triceps surae,9312.6020032825,962.3746635897112,4
SLS back,FAIS,Vasti,10754.654860545834,401.9991179339596,4
SLS front,FAIS,Adductors,3492.5754037441666,190.7005720130201,4
SLS front,FAIS,Gluteus maximus,2938.3562660041666,198.25206014346062,4
SLS front,FAIS,Gluteus medius,2528.8690749825,248.8826621900316,4
SLS front,FAIS,Gluteus minimus,1284.2175955783332,60.006514620938184,4
SLS front,FAIS,Hamstrings,4324.272237763334,289.29107971476344,4
SLS front,FAIS,Iliopsoas,2435.055106136667,153.56298788985026,4
SLS front,FAIS,Piriformis,890.5927951925,87.89139212348972,4
SLS front,FAIS,Rectus femoris,2254.2295890383334,257.8831255553937,4
SLS front,FAIS,Tibialis anterior,1381.3427191783335,85.64538089025102,4
SLS front,FAIS,Triceps surae,10412.412457700833,1086.0486496409899,4
SLS front,FAIS,Vasti,10528.803918621667,697.0868852606363,4
